BIAS	35.862720
AL	8.559181
AK	4.703321
AZ	3.609761
AR	8.057799
CA	-9.298284
CO	-2.820549
CT	-6.507317
DE	-7.646679
DC	-25.703412
FL	-0.433631
GA	2.740078
HI	-16.001455
ID	9.049129
IL	-5.066245
IN	3.138110
IA	-2.632965
KS	8.316677
KY	9.411230
LA	6.943868
ME	-5.901951
MD	-9.891615
MA	-8.888218
MI	-3.824725
MN	-3.191646
MS	4.812444
MO	2.941642
MT	4.943872
NE	8.822435
NV	-3.206300
NH	-2.638982
NJ	-6.478294
NM	-4.660393
NY	-13.821925
NC	0.746237
ND	7.301379
OH	-1.346563
OK	13.251955
OR	-5.364576
PA	-2.120152
RI	-9.678947
SC	5.691817
SD	7.547869
TN	9.459212
TX	6.035363
UT	16.970252
VT	-11.900185
VA	-1.720811
WA	-6.041436
WV	10.414248
WI	-2.917278
WY	16.236654
VALUE	0.282672
NOPOLL	13.293295
